date,,Walmart,Exxon Mobil,Apple,Berkshire Hathaway,Amazon,UnitedHealth Group,McKesson,CVS Health,ATT,AmerisourceBergen,Chevron,Ford Motor,General Motors,Costco Wholesale,Alphabet,Cardinal Health,JPMorgan Chase,Verizon Communications,Kroger,General Electric,Fannie Mae,Phillips 66,Valero Energy,Bank of America,Microsoft,Home Depot,Boeing,Wells Fargo,Citigroup,Marathon Petroleum,Comcast,Anthem,Dell Technologies,DuPont,State Farm Insurance,Johnson Johnson,IBM,Target,Freddie Mac,United Parcel Service,Lowes,Intel,MetLife,Procter Gamble,United Technologies,FedEx,PepsiCo,Archer Daniels Midland,Prudential Financial,Centene,Albertsons,Walt Disney,Sysco,HP,Humana,Facebook,Caterpillar,Energy Transfer,Lockheed Martin,Pfizer,Goldman Sachs,Morgan Stanley,Cisco Systems,Cigna,AIG,HCA Healthcare,American Airlines Group,Delta Air Lines,Charter Communications,New York Life Insurance,American Express,Nationwide,Best Buy,Liberty Mutual Insurance,Merck,TIAA,Tyson Foods,Oracle,Allstate,World Fuel,TJX,ConocoPhillips,Deere,Tech Data,Nike,Publix Super Markets,General Dynamics,Exelon,PAGP,3M,AbbVie,CHS,Capital One Financial,Progressive,Coca-Cola,USAA,Hewlett Packard Enterprise,Abbott Laboratories,21 Century Fox,Micron Technology,Travelers,Rite Aid,Northrop Grumman,Arrow Electronics,Philip Morris,Northwestern Mutual,FCStone,PBF Energy,Raytheon,Kraft Heinz,Mondelez,US Bancorp,Macys,Dollar General,Nucor,Starbucks,DXC Technology,Eli Lilly,Thermo Fisher Scientific,US Foods,Duke Energy,Halliburton,Cummins,Amgen,Paccar,Southern,CenturyLink,International Paper,Union Pacific,Dollar Tree,Penske Automotive,Qualcomm,Bristol Myers Squibb,Gilead Sciences,Jabil,Southwest Airlines,Aflac,Tesla,AutoNation,CBRE Group,Lear,Whirlpool,McDonald,Broadcom,Marriott,Western Digital,Visa,Lennar,WellCare,Kohls,AECOM,Synnex,PNC,Danaher,Hartford,Bank of New York Mellon,Fluor,Avnet,Icahn Enterprises,Occidental Petroleum,Molina Healthcare,Genuine Parts,Freeport McMoRan,Kimberly Clark,Tenet Healthcare,Synchrony Financial,CarMax,HollyFrontier,Performance Food Group,Sherwin Williams,Emerson Electric,XPO Logistics,EOG Resources,Applied Materials,PG&E,NextEra Energy,CH Robinson,Gap,Lincoln National,DaVita,WestRock,CDW,American Electric Power,Cognizant Technology Solutions,D.R. Horton,Becton Dickinson,Nordstrom,Netflix,Aramark,Texas Instruments,General Mills,Supervalu,Colgate Palmolive,PayPal,PPG,Omnicom,Celgene,Jacobs Engineering,Ross Stores,Marsh McLennan,Mastercard,Land O Lakes,Waste Management,Illinois Tool Works,Ecolab,Booking Holdings,CBS,Parker Hannifin,Principal Financial,DTE Energy,BlackRock,United States Steel,Community Health Systems,Kinder Morgan,Qurate Retail,Loews,Arconic,Stanley Black & Decker,Textron,Las Vegas Sands,Estee Lauder,DISH Network,Stryker,Kellogg,Biogen,Alcoa,Anadarko Petroleum,Dominion Energy,ADP,salesforce,L Brands,Henry Schein,Newell Brands,Guardian Life,BJs Wholesale Club,BB&T,State Street,Viacom,Ameriprise,Core Mark,RGA,VF,Discover Financial Services,Global Partners,Edison International,Oneok,Murphy USA,Bed Bath & Beyond,CSX,J C Penney,LKQ,FirstEnergy,Steel Dynamics,Lithia Motors,MGM Resorts,Tenneco,Nvidia,Sempra Energy,Farmers Insurance,Ball,Unum,Xcel Energy,Reliance Steel,Huntsman,Norfolk Southern,LabCorp,Corning,Expedia,AutoZone,WW Grainger,Crown Holdings,Office Depot,Baxter International,Lam Research,Entergy,Charles Schwab,L3 Technologies,NRG Energy,Live Nation Entertainment,Universal Health Services,eBay,AES,Devon Energy,Pacific Life,CenterPoint Energy,Discovery,BorgWarner,Ally Financial,SunTrust Banks,Chesapeake Energy,United Natural Foods,Eastman Chemical,Republic Services,Mohawk Industries,Sonic Automotive,Owens Minor,Xerox,Boston Scientific,DCP Midstream,Autoliv,Interpublic Group,PVH,Mosaic,Advance Auto Parts,Altice USA,Hormel Foods,O'Reilly Automotive,Calpine,Hertz Global Holdings,First Data,Pioneer Natural Resources,Coty,AGCO,Mutual of Omaha Insurance,Vistra Energy,Adobe,Peter Kiewit Sons,Brighthouse Financial,Voya Financial,GameStop,Veritiv,Williams,Campbell Soup,Rockwell Collins,Univar,Frontier Communications,National Oilwell Varco,Eversource Energy,Dicks Sporting Goods,Fidelity National Information Services,Ryder System,Caesars Entertainment,Masco,Thor Industries,Amphenol,Huntington Ingalls Industries,Jefferies Financial Group,Dana,Darden Restaurants,SpartanNash,Assurant,United Rentals,Liberty Media,Auto Owners Insurance,Cheniere Energy,Foot Locker,Tractor Supply,Hershey,PPL,Dean Foods,Builders FirstSource,Oshkosh,EnLink Midstream,WEC Energy Group,JetBlue Airways,UGI,Fidelity National Financial,Constellation Brands,Quest Diagnostics,Activision Blizzard,Weyerhaeuser,Raymond James Financial,Keurig Dr Pepper,American Tower,Apache,Dover,Motorola Solutions,Magellan Health,Fortive,Graybar Electric,NVR,Avery Dennison,Celanese,American Financial Group,Toll Brothers,Sanmina,Insight Enterprises,Owens Corning,TravelCenters of America,Olin,MasTec,Alleghany,Asbury Automotive Group,CMS Energy,Markel,Blackstone Group,R.R. Donnelley & Sons,Wayfair,Regions Financial,Wynn Resorts,Ulta Beauty,Regeneron Pharmaceuticals,Burlington Stores,Rockwell Automation,Northern Trust,Chemours,Seaboard,Marathon Oil,Ascena Retail Group,Dillards,Cintas,Advanced Micro Devices,Hess,ABM Industries,Beacon Roofing Supply,NCR,iHeartMedia,Franklin Resources,Ameren,Intercontinental Exchange,S&P Global,Post Holdings,Analog Devices,Ralph Lauren,L3Harris Technologies,Booz Allen Hamilton,Polaris Industries,Clorox,Old Republic International,Intuit,NetApp,Tapestry,ON Semiconductor,Ingredion,Zoetis,Fiserv,TreeHouse Foods,Robert Half International,First American Financial,Harley Davidson,Yum Brands,Williams Sonoma,Simon Property Group,Navient,Western Union,Peabody Energy,Levi Strauss
2019/9/1,,34,0,58,36,54,0,0,0,47,55,66,34,50,0,62,0,0,0,46,34,55,0,0,68,21,47,21,89,0,0,74,92,0,0,40,14,41,35,39,0,44,23,74,24,0,46,0,0,0,91,12,30,37,65,41,85,63,34,68,0,60,27,0,51,0,0,0,0,0,0,62,11,30,0,30,34,35,81,29,64,62,0,51,0,55,0,0,0,0,11,0,64,0,66,0,48,0,47,0,0,28,58,35,0,0,0,0,0,50,45,0,0,44,55,0,62,0,49,0,0,64,0,30,49,91,55,98,0,37,65,0,38,0,0,0,52,50,15,34,0,0,39,86,47,64,40,28,60,29,12,0,0,83,0,80,0,0,0,0,0,0,0,0,0,49,0,36,0,0,59,0,0,0,0,0,0,0,76,0,0,34,38,0,0,100,0,30,16,0,29,34,0,0,53,50,0,0,100,29,0,4,0,39,0,0,0,68,0,48,72,65,0,0,0,0,39,0,0,0,34,17,23,27,51,0,81,0,37,54,42,0,50,0,36,0,46,69,23,36,50,0,28,0,0,0,100,0,27,58,0,69,100,0,0,23,0,30,0,11,65,36,63,0,47,0,0,67,69,100,0,0,48,0,0,0,7,0,0,0,0,58,37,0,0,36,57,0,47,0,38,0,0,38,0,0,40,16,0,0,51,0,0,19,61,0,0,0,100,0,86,0,47,97,0,0,69,0,0,0,44,50,73,0,0,100,0,0,0,15,24,0,25,0,0,0,0,0,27,0,0,54,40,0,0,0,31,32,28,52,89,0,13,0,0,0,87,70,59,31,13,0,0,0,27,72,72,0,0,0,0,48,0,100,0,85,100,0,0,49,36,0,53,0,0,32,0,0,17,0,22,0,0,0,0,13,0,0,0,0,43,26,0,12,0,0,71,0,0,35,0,0,0,0,59,0,0,0,0,0,16,31,100,0,0,0,59,0,0,0,67,53,15,55,40,93,0,0
2019/9/8,,31,50,86,88,57,0,54,0,83,0,65,34,100,0,61,0,55,0,38,50,60,48,0,68,17,41,18,80,98,0,77,73,0,24,39,12,43,33,39,0,36,24,73,0,0,50,46,0,0,0,5,35,36,64,20,82,56,67,100,21,45,79,0,0,40,0,0,0,0,0,39,36,29,0,30,25,86,99,29,0,40,0,46,48,53,0,40,0,0,9,0,31,0,70,39,29,0,0,0,0,12,81,0,0,48,0,0,0,49,0,48,0,26,35,51,45,0,47,0,0,38,82,39,49,0,68,60,67,36,48,0,38,0,0,0,74,25,16,34,0,20,25,59,0,67,0,25,24,29,10,48,0,52,0,97,0,0,0,0,24,0,0,0,0,0,97,86,0,0,35,100,0,0,58,5,0,0,77,0,0,0,37,0,0,0,0,67,15,49,42,34,0,0,53,43,0,0,0,57,0,4,33,11,0,0,0,94,0,47,71,72,0,0,0,0,39,50,0,100,66,8,34,33,14,33,27,0,35,60,36,0,49,100,0,0,72,68,0,35,0,35,28,0,100,0,0,48,27,29,0,69,98,0,48,11,0,13,0,10,58,35,90,0,46,49,35,99,56,71,0,0,28,0,0,0,14,0,0,0,0,59,59,0,0,0,49,0,23,0,25,0,0,37,0,28,40,16,0,0,0,0,0,28,53,0,0,0,0,0,0,0,68,0,0,0,94,0,0,0,43,0,83,0,0,0,96,0,0,15,0,0,16,0,0,0,0,0,39,0,0,0,0,97,0,0,23,53,54,68,0,0,19,0,0,0,77,35,0,22,10,0,0,0,0,94,61,0,0,90,0,0,0,0,0,41,0,0,0,0,53,0,53,0,0,16,98,0,22,0,14,0,0,0,0,0,0,49,0,0,31,43,0,28,0,0,57,0,0,35,0,0,0,53,19,0,0,0,16,0,16,62,73,0,0,0,31,96,0,0,47,53,23,27,60,48,0,0
2019/9/15,,39,0,88,70,55,0,71,28,51,54,64,33,99,54,62,0,54,0,54,67,66,48,0,80,16,43,20,84,0,0,49,61,0,24,39,14,40,36,38,97,46,20,48,35,0,57,45,100,0,0,5,69,36,65,60,78,64,33,100,21,45,0,0,100,26,0,0,0,0,0,57,36,29,0,30,25,0,85,66,0,40,0,41,48,52,0,0,0,0,11,58,83,0,92,38,46,0,0,0,0,14,33,35,0,0,57,0,0,48,43,0,0,31,34,0,40,0,0,0,0,25,0,20,0,89,57,77,33,36,54,0,0,0,0,0,70,98,18,33,0,100,44,56,0,85,0,28,23,29,10,47,0,58,0,81,0,0,0,0,24,0,0,0,0,0,0,74,0,0,68,0,44,0,0,5,0,94,57,0,0,100,55,0,0,0,0,58,14,73,28,34,0,0,58,43,0,0,0,0,0,5,0,11,0,0,0,77,0,68,35,90,0,0,0,0,64,0,0,0,33,17,22,59,36,0,26,50,35,59,57,0,50,0,0,0,62,25,0,53,0,35,55,0,0,0,0,0,53,28,0,0,0,0,0,30,0,21,0,12,66,0,61,0,30,0,29,55,64,73,0,0,27,0,0,42,5,0,0,100,0,64,51,0,0,35,45,0,23,0,42,0,0,37,0,41,40,32,0,0,0,0,0,31,46,0,0,0,0,0,0,0,60,0,0,0,70,0,0,0,39,0,69,0,0,0,0,0,0,15,24,0,28,0,0,0,0,0,53,0,0,0,59,0,0,0,38,41,54,68,0,0,38,0,0,0,51,85,58,34,11,0,0,0,0,49,85,0,0,89,0,46,0,0,0,83,0,0,0,48,18,48,0,0,0,31,97,0,14,0,25,42,0,0,97,0,0,98,0,0,35,34,0,41,0,0,41,0,0,35,0,0,0,52,38,0,0,48,16,0,16,31,72,0,0,51,47,0,0,0,77,0,20,36,39,74,0,0
2019/9/22,,34,50,98,72,58,0,36,29,78,55,41,34,50,0,65,0,0,0,40,68,41,0,0,71,16,50,21,70,100,0,43,55,0,30,79,13,56,35,29,0,46,22,73,24,0,55,31,0,0,0,5,35,37,61,41,81,57,34,51,0,61,27,0,25,27,0,0,0,0,0,44,76,27,60,30,17,35,100,80,63,41,0,46,0,56,0,0,100,0,11,35,43,0,63,39,77,0,47,0,0,17,48,35,0,0,58,0,0,49,44,0,0,36,39,0,39,0,48,0,40,25,0,20,49,0,54,73,34,73,65,0,38,0,0,36,71,100,15,68,0,25,58,85,0,66,39,29,47,29,15,48,0,48,0,58,0,0,0,0,12,0,0,0,0,0,0,59,0,0,52,0,0,0,58,12,0,0,100,0,0,34,37,0,0,0,0,42,14,99,0,34,0,0,51,61,0,0,0,0,0,9,0,0,0,0,0,98,0,0,36,87,0,0,0,0,52,0,0,0,45,0,57,54,37,0,27,0,0,97,31,0,100,50,0,0,54,77,23,72,0,0,28,0,0,0,0,0,27,58,0,69,0,0,0,19,0,23,0,15,66,35,68,0,72,49,36,100,84,80,0,0,32,100,0,43,7,0,0,0,0,58,60,0,68,0,56,0,23,0,64,0,0,0,0,0,0,24,50,0,0,0,0,41,60,0,0,0,0,0,0,0,69,97,0,0,68,0,0,0,36,100,71,51,0,0,0,0,0,10,49,0,31,0,0,99,0,0,39,55,0,0,40,0,0,0,31,36,98,31,0,0,33,0,0,0,52,70,0,39,11,0,0,0,0,42,78,0,0,0,0,47,0,0,0,0,0,0,99,0,18,0,53,0,0,16,0,0,21,0,11,43,0,0,0,0,100,50,0,100,20,43,0,32,0,0,55,55,0,71,0,0,0,54,46,0,0,49,16,0,8,31,51,0,0,0,32,0,0,0,42,0,0,0,40,49,0,0
2019/9/29,,38,0,82,36,54,0,36,29,73,0,74,51,50,0,67,55,56,0,31,51,34,0,0,78,21,44,13,71,0,0,41,51,0,12,40,14,57,34,45,0,48,23,49,24,0,52,62,0,0,90,24,77,73,60,41,82,57,51,69,21,0,53,0,51,27,0,0,0,0,0,93,55,23,60,46,34,0,84,69,0,41,0,39,49,48,0,0,0,0,9,35,64,0,57,39,47,0,0,0,0,17,63,35,0,48,58,0,0,50,0,0,0,38,50,0,32,0,0,0,81,51,42,60,0,92,55,73,0,37,50,0,39,0,0,0,72,38,17,34,0,10,13,92,46,58,0,43,24,29,19,0,0,61,0,80,0,59,0,0,37,0,21,0,0,0,0,51,0,0,35,0,0,0,0,5,0,0,94,0,0,0,38,0,0,0,0,35,14,0,29,69,0,100,62,77,97,0,100,0,0,3,34,22,0,0,100,77,0,0,36,100,0,100,100,0,26,0,0,0,51,0,34,67,23,0,0,0,73,54,21,67,0,0,0,0,41,78,23,72,49,35,83,0,0,0,0,0,54,44,49,35,0,0,0,27,0,21,0,12,68,35,57,0,100,100,30,78,68,70,0,0,56,0,0,43,9,0,0,0,0,59,52,53,0,0,63,100,23,0,51,0,0,38,0,56,40,16,0,0,0,0,0,25,27,0,0,0,0,0,34,0,44,0,0,0,72,0,0,90,32,0,69,0,0,0,0,0,0,12,0,0,16,100,0,0,0,0,37,55,0,54,80,0,0,0,31,36,35,52,0,0,39,0,0,0,77,35,58,31,11,0,0,0,27,53,84,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,54,0,0,0,98,0,20,0,22,43,0,0,0,0,51,0,0,0,32,43,0,24,0,0,65,0,0,35,0,100,0,0,59,0,0,0,17,0,12,63,66,0,0,52,53,0,0,0,48,0,15,37,30,98,0,0
2019/10/6,,35,50,76,55,53,0,73,58,82,0,74,0,51,0,50,0,0,0,33,69,41,0,100,74,18,44,36,100,100,49,60,61,0,30,40,13,36,37,39,100,42,28,41,0,0,51,31,0,0,0,0,47,0,57,51,82,37,34,51,0,30,27,0,38,27,0,0,0,0,0,45,61,24,60,61,43,35,84,76,0,0,0,34,49,37,100,0,0,0,14,35,64,0,71,59,65,0,48,0,0,17,63,36,0,0,0,0,0,100,0,0,0,46,38,0,47,0,49,0,0,51,0,40,0,0,48,73,34,36,59,0,64,0,0,36,73,88,22,34,0,10,13,57,0,95,0,41,24,44,14,49,0,55,0,72,0,59,0,0,0,0,0,0,0,0,100,52,0,0,35,0,45,0,0,87,0,0,83,46,0,0,56,100,0,0,0,39,15,100,29,34,0,0,61,100,0,0,0,0,0,10,35,23,0,0,0,76,0,0,0,88,0,0,0,0,52,49,0,50,45,0,23,20,23,0,54,0,0,61,21,100,50,0,36,0,59,69,23,0,50,0,47,0,0,0,0,49,26,59,0,35,100,0,0,23,0,22,0,7,71,0,40,0,63,49,30,85,74,77,0,0,44,0,41,87,7,0,0,0,0,57,60,0,0,0,43,0,0,0,64,0,0,0,0,28,61,49,100,0,0,0,0,31,81,0,0,0,0,0,34,0,52,0,0,0,86,0,100,0,32,0,66,51,0,0,0,0,0,15,25,0,20,0,0,0,0,0,29,0,50,0,40,100,0,0,54,38,75,52,0,0,33,0,0,0,91,0,0,18,100,0,0,0,0,73,64,0,0,0,0,72,0,0,0,42,0,0,0,0,18,0,0,0,0,16,100,0,24,0,40,0,0,0,0,6,0,0,61,0,20,39,0,20,0,0,79,0,0,0,0,0,100,0,26,0,0,0,17,0,12,0,54,0,0,52,86,0,0,0,45,0,31,19,20,44,0,0
2019/10/13,,36,100,73,72,56,100,0,29,44,0,49,34,50,0,54,0,0,0,39,34,51,0,100,75,19,43,21,84,0,0,43,60,0,18,40,12,52,33,26,0,37,21,49,24,0,55,31,0,0,0,5,71,0,54,41,81,60,34,57,0,46,27,0,64,40,0,0,0,58,0,44,34,25,0,0,34,35,98,60,0,41,0,54,0,46,0,41,0,0,13,35,53,0,68,39,65,0,0,0,0,16,38,35,0,48,0,0,0,50,0,0,0,40,37,0,56,100,73,0,40,38,42,60,0,0,53,30,34,55,56,0,38,0,0,0,75,25,17,34,0,10,13,60,0,72,40,27,48,29,17,48,0,46,0,53,0,0,0,0,12,40,21,0,0,0,0,55,0,0,35,0,0,0,0,5,0,0,86,0,0,0,0,0,0,0,0,53,14,74,29,34,0,0,61,72,0,0,0,0,0,7,34,33,0,0,0,90,98,47,72,84,0,0,0,0,26,0,0,0,56,0,23,20,23,33,27,50,36,61,47,0,0,0,0,0,61,26,46,0,0,35,28,0,0,0,0,0,54,29,0,0,100,0,0,15,0,21,0,7,68,35,63,0,53,50,36,67,62,51,0,0,24,0,0,57,11,0,0,0,0,54,67,0,0,0,57,0,23,0,38,0,0,0,0,56,41,0,50,0,0,0,0,31,61,0,0,0,0,0,34,0,39,0,0,100,67,0,99,90,33,0,73,0,0,0,96,0,0,13,49,0,13,0,0,100,0,0,25,0,0,0,40,0,0,0,31,42,59,35,0,0,20,0,0,0,61,35,0,31,33,0,0,0,27,46,68,0,0,0,100,48,46,0,0,42,0,0,100,0,0,0,53,0,0,24,0,0,17,0,36,0,0,0,100,6,50,100,0,0,20,52,0,100,0,0,70,0,0,0,0,0,0,0,33,0,100,0,0,0,8,31,51,0,0,0,75,0,0,0,45,0,36,0,61,71,0,0
2019/10/20,,42,0,68,35,60,0,71,0,63,0,16,33,49,54,75,54,0,0,54,33,100,48,0,60,21,42,25,77,0,0,43,74,0,35,39,13,48,35,25,0,43,27,48,23,0,48,60,0,0,0,14,46,0,59,40,88,61,49,34,42,45,26,0,50,26,0,0,0,0,0,83,54,28,0,89,75,34,74,51,47,40,0,26,0,51,0,0,0,0,6,52,73,0,76,0,47,0,0,0,0,19,33,35,0,48,57,0,0,48,0,48,0,41,33,0,47,0,0,0,0,50,82,29,0,89,55,84,33,72,66,0,38,0,0,36,69,49,19,67,0,10,19,65,0,54,39,37,47,29,17,47,0,51,0,78,0,0,0,0,24,0,0,0,0,0,0,66,0,0,86,0,44,0,0,100,0,95,55,0,100,33,0,0,0,0,0,41,15,49,28,34,0,0,58,70,95,0,0,0,0,8,33,0,0,47,0,65,0,0,0,73,0,0,100,0,77,0,0,50,33,8,23,66,41,100,0,0,71,55,46,65,49,49,36,0,54,59,22,35,0,0,55,0,0,0,0,96,27,29,0,51,0,0,0,19,0,32,0,0,77,0,61,0,48,49,88,55,67,60,0,0,35,0,41,0,7,0,0,0,0,60,88,0,67,0,60,0,23,0,75,0,0,56,0,82,0,16,0,0,0,0,0,34,66,100,0,0,0,0,34,0,70,0,0,0,82,0,0,88,45,49,71,0,0,97,0,0,0,8,0,0,21,0,0,0,100,0,41,0,97,0,39,97,0,0,91,31,81,61,88,0,19,0,0,53,38,34,0,34,21,0,0,0,26,78,85,0,0,89,0,47,0,0,0,0,0,0,98,0,70,48,0,0,0,16,98,0,26,0,14,0,0,0,0,0,0,49,0,0,31,38,0,12,0,100,100,0,0,35,0,0,0,0,71,0,0,0,0,0,16,61,39,0,0,51,37,0,0,0,33,0,30,18,30,85,0,0
2019/10/27,,45,0,72,0,58,0,36,0,98,0,32,0,100,0,53,0,0,0,56,34,27,0,0,72,19,52,41,82,0,48,54,51,0,24,65,10,79,38,19,0,42,30,24,23,0,59,30,0,0,0,9,29,0,47,100,85,25,67,56,42,30,52,0,25,27,100,0,0,0,0,66,75,28,60,30,25,69,67,85,0,40,0,50,0,44,0,40,0,100,16,0,42,0,84,39,41,0,0,0,0,18,71,0,0,0,57,0,57,49,44,0,0,26,41,0,52,0,47,0,40,50,0,20,49,90,60,78,34,0,69,0,57,0,0,0,64,37,20,33,0,20,25,78,46,52,39,39,23,29,20,47,0,58,0,84,0,58,0,0,18,0,0,0,0,0,0,74,0,0,40,0,0,0,0,81,0,96,59,46,50,0,74,0,0,0,0,38,22,49,42,34,0,0,52,44,0,50,0,0,0,8,0,22,0,0,94,62,99,46,0,72,0,0,0,0,38,51,0,0,44,0,34,26,13,66,26,49,0,51,36,66,0,0,36,0,53,51,0,71,0,0,27,0,0,0,96,0,92,0,0,0,0,0,0,8,0,29,0,7,76,0,61,0,30,50,41,55,70,54,0,0,23,0,40,43,11,0,0,0,100,57,52,0,67,0,96,0,35,0,25,0,0,75,0,28,40,0,0,0,0,0,0,25,27,0,0,0,0,0,50,0,51,0,0,0,52,0,0,0,42,0,66,0,0,0,0,0,0,10,0,0,21,0,0,0,0,0,43,0,48,53,79,0,0,100,23,47,43,38,0,0,26,0,0,0,51,35,59,30,22,0,0,0,0,64,88,100,0,0,0,47,44,0,0,62,49,0,0,0,18,0,0,0,0,16,0,0,18,100,11,0,0,44,0,0,0,50,0,0,35,76,0,20,0,0,72,0,0,35,0,0,0,0,19,0,0,0,0,0,8,62,50,0,0,51,84,0,0,0,58,0,20,36,39,43,0,0
